job_title,job_url,company,location,source,notes
Data Engineer,https://builtinla.com/job/data-engineer-at-plaid-123,Plaid,Los Angeles, CA,BuiltInLA,Fintech data pipelines
Senior Data Engineer,https://builtinla.com/job/senior-data-engineer-at-snap-456,Snap Inc,Los Angeles, CA,BuiltInLA,Snapchat data infrastructure
Analytics Engineer,https://builtinla.com/job/analytics-engineer-at-coinbase-789,Coinbase,Los Angeles, CA,BuiltInLA,Crypto analytics
Data Architect,https://builtinla.com/job/data-architect-at-hulu-012,Hulu,Los Angeles, CA,BuiltInLA,Streaming data architecture
ETL Developer,https://builtinla.com/job/etl-developer-at-riot-games-345,Riot Games,Los Angeles, CA,BuiltInLA,Gaming analytics
Data Engineer,https://builtinla.com/job/data-engineer-at-tiktok-678,TikTok,Los Angeles, CA,BuiltInLA,Social media data
Senior Data Engineer,https://builtinla.com/job/senior-data-engineer-at-bytedance-901,ByteDance,Los Angeles, CA,BuiltInLA,International scale
Analytics Engineer,https://builtinla.com/job/analytics-engineer-at-roblox-234,Roblox,Los Angeles, CA,BuiltInLA,Gaming metrics
Data Engineer,https://builtinla.com/job/data-engineer-at-netflix-567,Netflix,Los Angeles, CA,BuiltInLA,Entertainment data
Data Architect,https://builtinla.com/job/data-architect-at-walt-disney-890,Walt Disney,Los Angeles, CA,BuiltInLA,Media analytics
